city,month,seasonal_factor,trust_week,declared_hourly_rate,claims_last_month,years_on_platform,flood_risk_score,heat_risk_score,ward_disruption_freq,city_median_hourly,city_base_premium,weekly_premium
chennai,10,0.8,5,47.63,0,2.35,0.914,0.411,0.074,62,95,85.81
chennai,5,1.3,1,63.97,3,0.21,0.456,0.56,0.077,62,95,120.0
bangalore,11,0.7,5,51.47,1,0.42,0.311,0.24,0.074,58,80,61.33
chennai,6,1.5,5,54.37,3,3.8,0.562,0.465,0.073,62,95,120.0
delhi,9,1.0,1,68.38,3,4.81,0.383,0.747,0.082,60,85,104.15
mumbai,11,0.7,5,77.85,1,0.91,0.796,0.172,0.065,65,100,78.31
bangalore,2,0.8,5,68.73,0,1.86,0.375,0.149,0.077,58,80,64.42
pune,2,0.8,5,50.08,1,1.98,0.107,0.278,0.029,55,65,60.0
chennai,2,0.8,1,44.97,2,2.11,0.804,0.421,0.097,62,95,92.14
chennai,1,0.7,5,56.88,1,2.34,0.659,0.36,0.075,62,95,76.38
chennai,8,1.3,1,58.92,3,2.6,0.663,0.358,0.074,62,95,120.0
bangalore,5,1.3,1,48.37,2,1.34,0.382,0.195,0.04,58,80,117.47
mumbai,10,0.8,5,57.09,2,0.81,0.8,0.234,0.096,65,100,97.22
bangalore,7,1.5,1,44.2,5,4.19,0.201,0.243,0.057,58,80,120.0
bangalore,3,0.9,1,39.39,1,3.49,0.307,0.362,0.052,58,80,74.79
mumbai,1,0.7,9,54.37,1,3.33,0.823,0.331,0.064,65,100,77.56
chennai,4,0.9,9,44.72,4,3.25,0.819,0.523,0.099,62,95,103.13
bangalore,8,1.3,1,43.4,0,2.52,0.254,0.189,0.072,58,80,110.44
mumbai,11,0.7,5,49.18,4,1.82,0.872,0.336,0.119,65,100,86.58
bangalore,3,0.9,1,64.04,1,4.71,0.288,0.374,0.046,58,80,76.26
pune,6,1.5,1,30.0,3,1.12,0.173,0.085,0.069,55,65,103.49
delhi,0,0.7,9,47.68,0,3.57,0.22,0.747,0.037,60,85,60.0
pune,11,0.7,5,72.25,4,1.94,0.201,0.217,0.024,55,65,60.0
pune,5,1.3,5,48.58,0,0.28,0.153,0.309,0.042,55,65,83.42
pune,11,0.7,1,46.24,0,2.7,0.222,0.414,0.054,55,65,60.0
mumbai,7,1.5,1,67.24,1,0.22,0.723,0.366,0.089,65,100,120.0
delhi,5,1.3,5,44.87,5,1.84,0.492,0.676,0.106,60,85,120.0
chennai,0,0.7,1,50.81,1,4.75,0.668,0.552,0.146,62,95,74.67
pune,3,0.9,5,59.13,3,4.07,0.293,0.245,0.064,55,65,62.93
bangalore,11,0.7,1,70.73,0,1.95,0.311,0.257,0.079,58,80,60.0
pune,9,1.0,5,40.14,2,4.69,0.118,0.191,0.031,55,65,62.88
pune,8,1.3,5,60.94,2,1.33,0.304,0.223,0.01,55,65,91.99
pune,6,1.5,5,70.67,3,4.54,0.202,0.173,0.029,55,65,105.03
pune,4,0.9,1,67.78,3,3.97,0.199,0.11,0.043,55,65,60.0
pune,2,0.8,9,45.09,0,3.83,0.168,0.118,0.046,55,65,60.0
delhi,8,1.3,9,53.92,1,0.52,0.515,0.652,0.055,60,85,120.0
bangalore,11,0.7,5,68.29,0,2.51,0.284,0.298,0.049,58,80,60.0
mumbai,2,0.8,5,55.07,2,4.36,0.822,0.201,0.098,65,100,87.33
chennai,8,1.3,5,79.41,4,1.48,0.796,0.719,0.066,62,95,120.0
delhi,7,1.5,1,52.81,1,4.87,0.209,0.736,0.08,60,85,120.0
pune,2,0.8,9,39.16,2,0.23,0.383,0.318,0.032,55,65,60.0
bangalore,10,0.8,5,74.25,0,0.28,0.322,0.252,0.088,58,80,67.99
bangalore,4,0.9,5,69.09,1,1.1,0.381,0.215,0.036,58,80,78.13
delhi,11,0.7,1,56.91,0,2.54,0.528,0.691,0.087,60,85,64.8
chennai,4,0.9,1,66.96,2,3.23,0.834,0.52,0.083,62,95,108.94
bangalore,2,0.8,9,73.29,1,3.94,0.463,0.162,0.021,58,80,63.43
pune,1,0.7,5,41.22,1,2.73,0.14,0.434,0.019,55,65,60.0
chennai,7,1.5,5,52.24,5,4.13,0.572,0.37,0.083,62,95,120.0
pune,8,1.3,1,40.38,1,3.47,0.084,0.077,0.042,55,65,83.91
delhi,11,0.7,1,60.43,2,1.34,0.458,0.731,0.13,60,85,75.05
pune,1,0.7,1,35.72,1,0.2,0.22,0.094,0.028,55,65,60.0
mumbai,3,0.9,1,60.79,2,2.96,0.84,0.365,0.125,65,100,114.47
delhi,8,1.3,1,62.71,2,4.68,0.484,0.679,0.023,60,85,120.0
mumbai,7,1.5,5,66.74,5,4.84,0.709,0.264,0.1,65,100,120.0
mumbai,9,1.0,5,65.16,3,2.33,0.712,0.4,0.136,65,100,119.64
chennai,0,0.7,1,49.85,0,0.67,0.939,0.44,0.078,62,95,81.93
pune,11,0.7,9,59.45,1,0.43,0.14,0.249,0.073,55,65,60.0
mumbai,4,0.9,1,66.36,0,0.9,0.854,0.303,0.052,65,100,108.3
pune,9,1.0,1,52.0,2,3.76,0.33,0.042,0.041,55,65,67.22
pune,7,1.5,1,64.88,4,0.92,0.199,0.305,0.051,55,65,115.85
pune,5,1.3,5,66.64,1,3.6,0.272,0.364,0.04,55,65,86.44
chennai,7,1.5,5,50.63,4,0.16,0.833,0.7,0.097,62,95,120.0
chennai,10,0.8,9,47.87,1,3.11,0.632,0.473,0.073,62,95,84.43
chennai,3,0.9,9,80.78,1,3.29,0.64,0.63,0.07,62,95,92.97
chennai,5,1.3,9,47.18,2,3.75,0.59,0.562,0.07,62,95,120.0
chennai,8,1.3,9,64.95,5,4.57,0.747,0.347,0.103,62,95,120.0
bangalore,5,1.3,1,58.94,5,1.57,0.152,0.213,0.023,58,80,120.0
pune,0,0.7,1,51.04,2,3.9,0.339,0.0,-0.0,55,65,60.0
bangalore,3,0.9,1,41.11,2,0.87,0.222,0.394,0.08,58,80,83.03
pune,7,1.5,1,41.45,3,0.59,0.281,0.106,0.046,55,65,109.96
chennai,3,0.9,5,54.11,1,0.52,0.606,0.533,0.057,62,95,101.94
pune,3,0.9,1,52.78,2,4.17,0.319,0.133,0.06,55,65,60.0
bangalore,3,0.9,9,53.74,3,2.48,0.326,0.47,0.057,58,80,76.19
mumbai,5,1.3,5,84.45,1,4.51,0.91,0.315,0.098,65,100,120.0
delhi,3,0.9,1,58.22,2,0.79,0.332,0.61,0.05,60,85,86.66
pune,8,1.3,1,65.13,4,1.83,0.215,0.178,0.058,55,65,94.57
bangalore,6,1.5,5,56.47,3,2.75,0.356,0.328,0.049,58,80,120.0
delhi,4,0.9,1,47.41,1,3.55,0.306,0.93,0.088,60,85,83.61
